명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보,개장기간,입장료,체험가능연령, 유산구분,개장일,체험안내,이용시기
갤러리 미고,48099.0,,,부산광역시 해운대구 해운대해변로298번길 24,35.1602160088,129.1666100994,"갤러리미고는 40년간 고미술 갤러리를 운영해 온 역사와 전통을 지니고있는 부산을 대표하는 갤러리이다. 이를 기반으로 하여 2008년 현대미술갤러리와 고미술갤러리로 나누어 두 분야를 다 아우르는 갤러리를 운영하고있다. 갤러리미고는 현대미술의 다양한 양상을 소개하는 것은 물론이며, 신진작가 발굴에도 힘쓰고 있는 갤러리이다.<br>",,,,월~토 10:00~18:30 (전화문의),매주 일요일 (전화문의),,,,주차 가능,,없음,불가,없음,,,,,,,,
국립부산국악원,47130.0,,,부산광역시 부산진구 국악로 2(연지동),35.171440451,129.054252898,"국립부산국악원은 부산,영남 지역의 전통공연예술을 계승, 발전시키기 위해 2008년 10월28일 개원한 국립 문화예술 기관이다. 공연, 교육, 연구를 총괄한 복합적 기능을 가진 국립부산국악원은 부산의 풍부한 전통문화자원을 바탕으로 특색 있고 품격 높은 작품을 선사하고 있다. 앞으로도 특색있고 품격 높은 대표작품을 개발하여 국제해양도시이자 아시아, 태평양의 거점 도시인 부산의 문화경쟁력을 제고할 뿐 아니라 한국 전통문화의 세계화에 앞장 설 것 이다.

* 개관일 : 2008년 10월 28일",,"부지면적 21,360㎡<br />
건축연면적 20,324㎡<br />
대극장 686석 / 소극장 276석 / 야외극장 300석","대극장 686명, 소극장 276명",공연에 따라 다름,,공연에 따라 다름,공연에 따라 다름,공연에 따라 다름,주차 가능,무료,불가,불가,가능,"체험프로그램:- 국악교육자 연수<br />
- 국악강좌<br />
- 국악문화학교<br />
- 청소년 국악체험 등
예약안내:인터넷 예매, 전화 예매
외국어 안내서비스:공연관련 팜플렛 및 홈페이지, 전화안내서비스<br /> - 영어, 일어, 중국어 팜플렛 
비치<br /> - 홈페이지 영문안내서비스<br /> - 전화안내서비스 영어, 일본어, 중국어 
가능<br /><br>

대관안내:- 신청방법 : 온라인(홈페이지,이메일)신청 및 오프라인(우편 또는 방문)신청<br />
- 대관대상 : 전통예술의 전승,발전과 국제문화예술교류에 이바지할 수 있는 국악공연<br />
청소년의 정서함양과 가치관 형성에 이바지할 수 있는 국악공연(제외공연 있음)<br />
- 대관문의 : 051-881-0039
외국인 예약안내:인터넷 예매, 전화 예매
한국어 안내서비스:공연관련 팜플렛 및 홈페이지, 전화안내서비스
",,,,,,,
오륜대 한국순교자박물관,46265.0,,,부산광역시 금정구 오륜대로 106-1,35.2461579534,129.1015467296,이곳에는 그 동안 수집된 순교자들의 유품과 박해시대의 유물들을 전시하고 있으며 특히 김대건 신부님의 무덤을 덮었던 횡대와 친필서간 등이 소장되어 있다. 조선흥선대원군의 병인 천주교 박해 때 1868년 음력 8월 4일 수영장대에서 참형을 받고 순교한 요한 이정식씨와 그의 가족들 등 천주교 신자 8명의 순교자 유해가 안장된 곳이며 1982년 9월에 기념관을 개관하였다.,,1317.28㎡,,10:00~17:00,"매주 월요일, 1월 1일, 설날 및 추석 연휴","성인 2,000원 / 어린이, 청소년 1,000원<br />
※ 전시에 따라 요금 변동될 수 있음",,,주차 가능,,없음,불가,없음,"예약안내:단체 관람시 2주전에 예약
",,,,,,,
부산대학교 박물관,46241.0,,,부산광역시 금정구 부산대학로63번길 2,35.2333923163,129.0798600805,"부산대학교 박물관은 시대별로 유물들을 전시해 놓았으며, 부산대학교 박물관의 유물들 중 동래 복천동에서 수집된 유물들이 가장 많이 전시되어 있다. 박물관은 1층 종합전시실과 2층 기획전시실로 되어 있으며, 1층 종합전시실은 우리나라에 사람이 살기 시작한 구석기시대부터 조선시대에 이르기까지의 역사를 유물을 통하여 통시대적으로 개관하고 있다. 2층 기획전시실은 직접 조사한 가야시대의 유적과 유물을 중심으로 가야문화를 전반적으로 조명하기 위하여 부분마다 주제를 정해 체계적으로 전시하였다. 부대박물관은 주말과 방학때 방문객이 많으며 주 방문고객은 청소년과 일본인이다. <br>",,연건평 396㎡,,09:00~17:00,"일요일, 공휴일 및 기타 휴관일",무료,,,주차 가능,,없음,없음,없음,"예약안내:단체 방문시 사전 연락
",,,,,,,
경성대학교 조류관,48434.0,,,부산광역시 남구 수영로 309,35.1422639512,129.0969499828,"야생조수 치료원을 개설하여 야생조수들을 치료후 자연으로 돌려 보내고 있다. 275종의 1,000여 점의 국내 서식조류를 박제한 후 전시. 소개하고 있다. 150평의 공간에 희귀종을 포함해서 생물학과 우용태 교수가 평생 수집한 275종 1,000여 점의 국내 서식 조류를 박제하고 전시, 소개하고 있다. 조류관을 항시 개방하여 학생들은 물론 일반인들에게도 아름다운 새를 가까이에 느끼고 자연과 생태계의 조화를 이해하는데 도움을 주고 있다. <br>",,,,10:00~16:30,"1월1일, 성탄절 (공휴일은 전화문의)",무료,,,주차 가능,,없음,불가,없음,"한국어 안내서비스:전시 해설 가능
예약안내:단체 방문시 사전 예약 <br />
경성대학교  홍보팀 051-663-4042
",,,,,,,
부산과학기술대학교 민속자료실,46639.0,,,부산광역시 북구 시랑로132번길 88(구포동),35.1944619491,129.00424551,"이 곳에는 약 300평 규모의 실내 전시실 3개소와 회랑 전시실, 야외 전시실이 꾸며져 있고 전체 전시 유물도 총 2,000여 점에 이른다. 지역민은 물론 내방객들에게 상설개방을 하고 있다.<br>",,약 300평,,09:00~13:00,"토요일, 일요일 및 공휴일",,,,주차 가능,,없음,불가,없음,"소장품현황:금속, 보석, 토도, 골각, 목죽, 피보지직, 서화탁본, 편직제품, 무구, 의상 등 유물 2,689점
",,,,,,,
동아대학교 석당홀,49201.0,,,부산광역시 서구 대신공원로 32,35.1207704706,129.018746261,동아대학교 설립장인 정재환 초대총장을 기념하여 총 면적 270평에 객석 707석을 갖추어 개관하였다.석당홀은 다목적 콘서트홀로서 평일에는 주로 학술회의 세미나 개최 등 교내 행사를 중심으로 행사하고 있지만 주말이나 공휴일 방학기간에는 뚜렷한 문화공간이 없는 지역적 특성을 살려 다채로운 공연이 열리고 특히 젊은 가수들의 특색있는 음악공연과 연극공연으로 젊은이의 많은 사랑을 받고 있다. 대관은 주로 주말에만 가능하다. <br>,,270평,좌석 707석,,,,,,주차 가능,,없음,없음,없음,,,,,,,,
임시수도기념관,49236.0,,,부산광역시 서구 임시수도기념로 45(부민동3가),35.1037640206,129.0176357101,"임시수도기념관은 한국전쟁이라는 국난의 시기에 대한민국 임시수도로서 소명을 훌륭하게 마친 부산의 위상과 역사성을 기념하고 부산시민의 자긍심을 고취하기 위해 1984년 6월 25일 개관하였다. 개관 당시 중심 건물이었던 대통령관저는 일제강점기인 1925년 경상남도 도청이 진주에서 부산으로 이전하면서 1926년 8월 10일 도지사 관사로 지어진 벽돌조의 2층 가옥으로, 1950년 한국전쟁 발발로 부산이 대한민국의 임시수도로 기능하던 기간(1950~53년)에는 대한민국의 초대 대통령인 이승만 대통령이 거처하셨던 곳이다. 현재 근대건축물로서의 역사성이 인정되어 부산시 기념물로 지정되었으며, 잘 가꾸어진 야외정원과 어우러져 고즈넉한 운치를 자랑하는 곳이기도 하다.<br /><br />한국 전쟁 당시 대한민국 정치의 최종 결정과 대외적인 외교업무가 이루어진 장소라는 점을 사실적으로 보여주기 위하여 대통령의 집무실과 응접실 등을 당시 분위기 그대로 재현하였다. 또한 대통령 내외와 수행비서들의 생활공간이기도 하기 때문에 내실과 거실, 손님방, 식당과 부엌 등에서는 검소하고 소박한 대통령 내외의 일상적인 면들도 엿볼 수 있을 것이다.<br>2012년 9월 19일에는 대통령관저 뒤편에 자리잡고 있던 옛 부산고등검찰청 검사장 관사를 전면 리모델링하연 새로운 전시관으로 개관했다. 지하1층 지상1층의 벽돌조 가옥인 전시관은 한국전쟁의 발발과 피란민들의 생활상, 임시수도 시기 부산의 정치, 경제, 문화 등을 보여주는 상설전시실로 꾸며져 있다.<br>",,"부지면적4,774.2㎡, 건축연면적926.2㎡, 전시면적 230.94㎡",100명,09:00 ~ 18:00,"1월 1일, 매주 월요일(월요일이 공휴일인 경우 다음날 휴관)",,,,주차 가능,무료,가능,불가,없음,"예약안내:전화/홈페이지 예약가능
한국어 안내서비스:11:00, 14:00, 15:00,, 16:00<br />
* 대통령관저 문화관광해설사 해설 가능
",,,,,,,
우장춘기념관,47720.0,,,부산광역시 동래구 우장춘로62번길 7(온천동),35.213524953,129.0720279747,"우리나라를 대표하는 육종학자로 1936년 배추속의 식물에 관한 게놈분석을 시도하여 발표한 박사학위 논문 종의 합성은 세계적인 반향을 불러일으켰으며, 그는 귀국후 그의 지식을 바탕으로 그때까지만 하더라도 거의 일본에 의존하던 채소종자를 국내에서 자급할 수 있도록 하고 우리나라 육종과 원예발전을 위하여 진력하였다. 이러한 업적을 인정받아서 1959년 8월 9일에는 정부로부터 문화포장을 받았다",,,,09:00~18:00,"매주 월요일(월요일이 공휴일인 경우 그 다음 날), 1월 1일, 설/추석 연휴",,,,,,없음,불가,없음,"한국어 안내서비스:우장춘기념관 전시관 및 자유천 해설 프로그램 운영
",,,,,,,
동래문화회관,47746.0,,,부산광역시 동래구 문화로 80 동래문화회관,35.2121198984,129.0905625108,"동래문화회관은 부산 유일의 숲속공연장으로 공연장 주변에는 동래읍성과 복천박물관 그리고 장영실 과학동산이 자리 잡고 있어 공연은 물론 역사적 경험을 할 수 있는 부산의 대표공연장이다. 대극장(524석), 소극장(200석), 야외공연장(1,130석), 전시실을 두루 갖추고 있는 우리 문화회관은 열린 휴식공간으로 마음 따뜻한 행복을 만끽할 수 있을 것이다.

* 개관일 : 1999년 10월",,"부지면적 : 11,029㎡<br />
건축연면적 : &nbsp;5,519㎡<br />
전시면적 : 231㎡","대극장-524석, 소극장-200석, 야외공연장-1,130석",공연에 따라 다름,,공연에 따라 다름,,공연에 따라 다름,주차 가능,,없음,불가,가능,"대관안내:051-550-6612
",,,,,,,
북구문화예술회관 공연장,46547.0,,,부산광역시 북구 금곡대로46번길 50(덕천동),35.2134515157,129.0057670798,"북구문화예술회관 공연장은 공연 목적에 걸맞는 환경을 구성하여 무용, 음악, 연극, 클래식 등 다양한 장르를 담아낼 수 있는 공연장으로 새로이 단장하였으며, 웅장한 내부시설과 안락한 객석, 넓은 공간은 물론 더욱 업그레이드된 고성능의 음향시설과 조명시설을 보유하여 수준 높은 공연이 가능하도록 준비되어있다.",,"북구 문화예술회관 건축연면적 : 2,972.82㎡(지상2)",공연장 341석,09:00~18:00(전화문의),매주 월요일(전화문의),,"다자녀가정 50% 할인, 국민기초수급대상자 50% 할인",공연마다 다름,주차 가능,무료,없음,불가,불가,"예약안내:사전 전화예약 우선입장
대관안내:문화예술회관 : 051-309-4084
",,,,,,,
영도문화예술회관,49114.0,,,부산광역시 영도구 함지로79번길 6(동삼동),35.0755014082,129.0660433825,"영도문화예술회관은 최첨단 시설을 갖춘 문화예술 공간으로서 음악, 연극, 미술 등 다양한 장르의 공연과 전시행사를 개최할 수 있고, 도서관과 국민체육센터가 한 곳에 마련되어 있는 복합시설물인 영도어울림문화공원 내에 위치함으로써 문화를 영유할 수 있는 최상의 공간이 될 것이다.<br /><br />* 개관일 : 2009년 10월 19일<br>",,"부지면적 : 27,236㎡<br />건물규모 : 연면적 4,025.83㎡ 지하 2층, 지상 3층",대공연장 422석 / 소공연장 156석,,,,,,주차 가능,무료,없음,불가,가능,"대관안내:051-419-5574
",,,,,,,
을숙도문화회관,49300.0,,,부산광역시 사하구 낙동남로1233번길 25(하단동),35.1099925394,128.944764103,"을숙도상단부 총부지 10,000평에 대공연장, 소공연장, 야외놀이마당, 전시실 등 종합문화예술공간으로 건립하여 자연과 문화가 어우러진 공간으로 뛰어난 건축미학과 함께 잔디광장의 조각작품과 연못쉼터 등 주민휴식 및 문화공간으로 조성되었다.<br /><br />* 개관일 : 2002년 10월 5일<br>",,"* 부지면적 33,058㎡ <br>
* 건물연면적 및 규모<br>
 - 대공연장, 전시관리동 : 8,579㎡(지하1층 지상2층)<br>
 - 소공연장 : 1,651㎡ (지상2층)<br>
 - 야외공연장 : 704㎡<br>
 - 전시실(1,2,3) : 457.38㎡","대공연장 : 708석, 소공연장 : 242석",공연에 따라 상이함,"연중무휴(단, 매주 월요일은 정기정검일)",매공연마다 상이함,매공연마다 상이함,매공연마다 상이함,"주차 가능(주차면 606면, 인근주차면 포함)","* 공영주차장 사용시<br />
주차1면 10분당 100원(1시간 600원, 당일최대 2,400원)<br />
※ 단, 버스 등 대형차는 별도 산정<br />
<br />
* 공연관람객 3시간까지 무료(공연관람후 주차권확인)",불가,불가,가능,"사업내용:공연 및 전시회개최, 문화강좌운영
소장품현황:조각공원내 2004년 부산비엔날레 조각작품 20점
대관안내:- 대관시설 : 대공연장,소공연장,다목적홀,연습실,전시실,회의실,놀이마당<br />
- 대관문의 : 051-220-5811
예약안내:홈페이지를 통하여 예약가능 (공연마다 상이함)
외국인 예약안내:홈페이지를 통하여 예약가능 (공연마다 상이함)
",,,,,,,
